product,price,year
Motorcycle,84623,2015
Car,320520,2020
Truck,550000,2020
Car,320520,2017
Motorcycle,84623,2016
Plane,231000,2015
Motorcycle,84623,2021
Truck,550000,2020
Truck,550000,2021
Motorcycle,84623,2020
Motorcycle,84623,2021
Truck,550000,2020
Motorcycle,84623,2017
Plane,231000,2017
Car,320520,2015
Car,320520,2015
Car,320520,2022
Plane,231000,2020
Truck,550000,2019
Motorcycle,84623,2020
Plane,231000,2015
Truck,550000,2018
Truck,550000,2018
Plane,231000,2022
Motorcycle,84623,2017
Truck,550000,2014
Motorcycle,84623,2017
Truck,550000,2021
Plane,231000,2018
Plane,231000,2015
Motorcycle,84623,2016
Car,320520,2020
Car,320520,2018
Truck,550000,2017
Car,320520,2015
Truck,550000,2019
Motorcycle,84623,2020
Truck,550000,2019
Car,320520,2021
Car,320520,2016
Car,320520,2017
Plane,231000,2016
Car,320520,2016
Motorcycle,84623,2014
Plane,231000,2020
Car,320520,2015
Plane,231000,2020
Plane,231000,2022
Plane,231000,2018
Motorcycle,84623,2022
Motorcycle,84623,2021
Truck,550000,2016
Car,320520,2017
Plane,231000,2017
Plane,231000,2014
Car,320520,2016
Car,320520,2014
Motorcycle,84623,2016
Plane,231000,2015
Car,320520,2015
Plane,231000,2020
Plane,231000,2017
Motorcycle,84623,2021
Car,320520,2020
Truck,550000,2019
Car,320520,2014
Motorcycle,84623,2015
Plane,231000,2018
Truck,550000,2021
Motorcycle,84623,2020
Motorcycle,84623,2021
Car,320520,2021
Car,320520,2015
Car,320520,2021
Plane,231000,2014
Motorcycle,84623,2016
Car,320520,2018
Car,320520,2020
Motorcycle,84623,2016
Plane,231000,2022
Car,320520,2020
Truck,550000,2017
Plane,231000,2022
Plane,231000,2015
Truck,550000,2020
Truck,550000,2020
Plane,231000,2015
Car,320520,2017
Motorcycle,84623,2016
Car,320520,2019
Car,320520,2018
Motorcycle,84623,2021
Truck,550000,2018
Car,320520,2014
Car,320520,2016
Truck,550000,2016
Truck,550000,2020
Plane,231000,2016
Motorcycle,84623,2017
Plane,231000,2017
